source_video,target_video,source_start,source_end,target_start,target_end,group,category,is_duplicate
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,24.0,25.0,15.0,22.0,210,maradona_hand_of_god,True
1e2598afd4d6a8728d6c0076354477db59702a5a.flv,,186.0,198.0,,,,the_last_samurai_last_battle,False
c6d6d37c73f364e3902407e1da07c8e354f66c13.flv,,677.0,692.0,,,,president_obama_takes_oath,False
458db5aa227ae49ceb8bc1bed5f9cf5b4bed63f2.flv,6d1466ebc4de7e5ddb229bde090b5c5acac15c0c.flv,8.0,10.0,4.0,6.0,0,baggio_penalty_1994,True
09b682c899b0727e9990d8e347cdce3df7c5550e.flv,d2015b438b70f022967713d6f977ebc67a16839e.flv,15.0,25.0,193.0,203.0,71,david_beckham_lights_the_olympic_torch,True
957f17421e19ce01afd6f92c895aba72342bd8ea.flv,,2640.0,2655.0,,,,obama_kicks_door,False
377f81e79938ba062762e74a3b8d4136b5523fa3.flv,,84.0,88.44,,,,maradona_hand_of_god,False
980970c70070421c46fb122e7a6ebc59682e697d.flv,ab2879d4e100749bb69b5892c86778853022af77.flv,0.0,184.0,0.0,184.0,546,ronaldinho_ping_pong,True
2620a515a196e5d4329f320f478010e578980bee.flv,468410600142c136d707b4cbc3ff0703c112575d.flv,85.0,87.0,25.0,27.0,163,infernal_affairs_1,True
df097cb467b3a43683f48082099cfdfddae84f37.flv,e29e65d0e362b8e7d450d833227ea3c0f5f65f12.flv,3.0,43.0,0.0,40.0,425,president_obama_takes_oath,True
77cf367bdc30892faa364bab0006c316a4e86f8e.flv,,103.0,118.0,,,,osama_bin_laden_is_dead_obama_speech_at_white_house,False
97c71f57e83f6ab16906fdd7edc8e3f88d2ceee1.flv,a100d2d414f1faa59abdb409e8858d6a4ba96618.flv,21.0,39.0,3.0,21.0,14,beckham_70_yard_goal,True
3d0a3002441f682c7124806eb9b92c677af2ee9e.flv,b75d15d45b34b0aba85ebc67fdc9fac93e20fd26.flv,135.0,145.0,38.0,48.0,797,t-mac_13_points_in_35_seconds,True
010aeeb1a5d471418ceab8f8c0d5f34d84059cff.flv,2fe7b38b1cbdfdf5d6075ee2b2cd9fee2cf7d7c1.flv,0.0,141.0,5.0,142.0,674,scent_of_woman_tango,True
2bdf8029b38735a992a56e32cfc81466eea81286.flv,c4365f3b67428240a4e82a07ec373cc2db96e0a4.mp4,302.0,309.0,40.0,45.0,765,t-mac_13_points_in_35_seconds,True
1f518e563d7fcdc4f21aedc1e2b30298255dd10c.flv,925a69d13824e3521d6eccbe8c6d7ff0c54486fe.flv,0.0,31.0,0.0,31.0,180,kennedy_assassination_slow_motion,True
e47d10d837cacf72bb23c45339b1cbc307a513be.mp4,,225.0,240.0,,,,obama_kicks_door,False
daa0d7da05e7475ca5cb9b2a91fb968e65725ecb.flv,ecae756c95dc0d66827d30767e944c781eef7ea7.flv,19.0,118.0,0.0,99.0,408,osama_bin_laden_is_dead_obama_speech_at_white_house,True
16f1dd96af646d6ec01c5ec51c0fdfafd8206c0a.flv,481f7052a3be44d9f7d1f6d2f809c0a4f17cb175.mp4,4.0,152.0,5.0,154.0,688,scent_of_woman_tango,True
9067be820dde81e11fc69146317995110f408627.flv,,207.0,222.0,,,,the_last_samurai_last_battle,False
6209e90f48cea8649c0c632f2486554524f11ca5.flv,bc0f16fd0538091a9e1eba02a8da9559e2751f6f.mp4,20.0,124.0,0.0,104.0,367,osama_bin_laden_is_dead_obama_speech_at_white_house,True
18f317405a4f8e49e546b3f4df689030a1f6664c.flv,9ad3cc564c4f1b52ce076068e3830a70b9abccbf.flv,222.0,227.0,50.0,55.0,793,t-mac_13_points_in_35_seconds,True
9c5fde27983574ca7840da09d40c40bd20820957.flv,a89a3193db3354c059dfe4effac05c4667f9c239.flv,0.0,7.0,170.0,181.0,1130,troy_achilles_and_hector,True
1c347b1b7ceb23e4b45f0965cafb6f981c0f61d5.flv,b97bd2c745407e22c671d36b64a5be29659aa0ba.mp4,44.0,64.0,60.0,78.0,967,the_pursuit_of_happyness_-_job_interview,True
911169b1e685d943c7854a1c0ecdf9cef1250bec.mp4,9185e2ba429ae15c5e2a2d0f624dee890e03d0f0.flv,38.0,43.0,5.0,10.0,1213,troy_achilles_and_hector,True
44be6e5e82fced7f458b17c0230118034ffc7a57.flv,b87117db8a791ef534d91b79dd6d0ab57ffc644c.flv,17.0,54.0,13.0,50.0,814,t-mac_13_points_in_35_seconds,True
548e9ff21d5a54cf621986dc6047abf8db12e8b7.flv,911169b1e685d943c7854a1c0ecdf9cef1250bec.mp4,69.0,248.0,43.0,120.0,1122,troy_achilles_and_hector,True
458db5aa227ae49ceb8bc1bed5f9cf5b4bed63f2.flv,9423340949f55d7a089e881ccc35f23dff3fccf7.flv,5.0,12.0,0.0,7.0,1,baggio_penalty_1994,True
35cea0d48b9b69a6cda373766ea586ccaa5ba78d.flv,f8190a5d3e36b6bf01db0a4033c917c5cef93bcc.flv,210.0,218.0,37.0,42.0,765,t-mac_13_points_in_35_seconds,True
42daf76df2f31f0805f2f3f766bb348bb24feac7.flv,5df28e18b3d8fbdc0f4cd07ef5aefcdc1b4f8d42.flv,81.0,84.0,24.0,27.0,775,t-mac_13_points_in_35_seconds,True
3325a3c9120eb6e7d55bf2963a52991f7f47538d.flv,76d63613abd080fe83b99cffe29e85ef01b12d40.flv,10.0,28.0,3.0,47.0,681,scent_of_woman_tango,True
3216eba70c40df452e982aabf4b6a19e40f037f4.mp4,4aec2dcc12e748c4d2ff51fd6e84fac3fd9b5748.flv,55.0,69.0,0.0,14.0,262,obama_kicks_door,True
4aec2dcc12e748c4d2ff51fd6e84fac3fd9b5748.flv,cf2ead1b5a8474f80e34ea569c8dee86140828a6.flv,0.0,14.0,0.0,14.0,262,obama_kicks_door,True
18b795635784edf78f356c8fa2daf892c1fb7de0.flv,ec6d9578723211eebde91393c69ba9f84507431c.mp4,0.0,42.0,89.0,131.0,994,titanic_fly_scene,True
3f81759e6e56e326c0deb3f1ca002e4c68d87eec.flv,89b40b8ef5ec589cd8e4ebe5970e6b488f6b31ad.flv,42.0,122.0,188.0,268.0,278,osama_bin_laden_is_dead_obama_speech_at_white_house,True
e89539c5310189d7333610e2a4b57b8648d30af5.flv,fbd257e13786ad8bc65da9830f99da038a845079.flv,0.0,209.0,301.0,509.0,707,scent_of_woman_tango,True
9c5fde27983574ca7840da09d40c40bd20820957.flv,ccc879ecfb35a1a77667dd8357b71a930c19092c.flv,0.0,7.0,100.0,107.0,1130,troy_achilles_and_hector,True
d073f04bba4abb056f4be01b6f1bf5b58bb330de.flv,d7fd4ee52ade46db49e9fbabdf5d964ce0677961.flv,1.0,562.0,3.0,564.0,318,osama_bin_laden_is_dead_obama_speech_at_white_house,True
957f17421e19ce01afd6f92c895aba72342bd8ea.flv,,495.0,510.0,,,,obama_kicks_door,False
458db5aa227ae49ceb8bc1bed5f9cf5b4bed63f2.flv,67824b87c0698c499acad123b7498ae17f97bf6d.flv,5.0,11.0,0.0,6.0,3,baggio_penalty_1994,True
55dde762dc283ee301065f670b6d7c08c3c32668.flv,e2cecbbd4e5683a610152e4b0e83deaa5090384a.flv,125.0,127.0,75.0,77.0,485,president_obama_takes_oath,True
851a6c020ddd0b07bff00667ae8913fe8452f422.flv,d2442b3cf9396f6ae26a92e9165c8798297384ed.mp4,3.0,85.0,0.0,91.0,1090,titanic_fly_scene,True
de71afa5fe2363589c28021940d2902d8701efdf.flv,,12.0,17.0,,,,maradona_hand_of_god,False
089bc4a7f6d8747dad92507019b100c5ec09a883.flv,1d4062ded72a30caa898d2bb9c105994c8a96acc.flv,25.0,77.0,0.0,52.0,450,president_obama_takes_oath,True
3216eba70c40df452e982aabf4b6a19e40f037f4.mp4,affa7581a002ca360df8c76b4ddc9f462b797fd5.mp4,4.0,18.0,0.0,14.0,262,obama_kicks_door,True
e2409fb1749da3d3412fa0e5a1751c2fa0a6965d.flv,e89539c5310189d7333610e2a4b57b8648d30af5.flv,0.0,150.0,61.0,209.0,688,scent_of_woman_tango,True
be51784c0b0676bf487376af362b088922efa954.flv,bf582249cfc79d691195a8681961029cc5149a76.flv,140.0,180.0,0.0,40.0,239,mr_and_mrs_smith_tango,True
bdce7faffa2ce63db64ddab4fa10ac6752079020.flv,,105.0,120.0,,,,saving_private_ryan_omaha_beach,False
2a3a855c1a79ccfda28c57c4a2bcdaa85c725787.flv,ddf4ea3ad374dad0d4abc418418581632547f2fc.flv,171.0,265.0,0.0,137.0,687,scent_of_woman_tango,True
54f841cdb1b1a498c656bd541d23c690b70737bd.flv,74018dcbf908a0a0319e889a70a920896b63ed99.flv,0.0,17.0,0.0,17.0,14,beckham_70_yard_goal,True
1e04e15f77363ebb7cdfb8811cd3d5d6d8b18305.flv,e2d1ca4b2657cd82092765801adda59a7f71bc56.mp4,30.0,38.0,2.0,5.0,1298,zidane_headbutt,True
524ef63fbe3c17ac7dce07f21e19c22841269580.flv,de04dd21b7ef63a37ae70770dc0cfa0b2c1f52fc.flv,14.0,28.0,31.0,37.0,1056,titanic_fly_scene,True
126f24a39b0ce19993d1fd7bd620fa98a3eda3a7.mp4,650b4f7667e95e743b944c7e6602ada613b87377.flv,0.0,8.0,30.0,38.0,269,obama_kicks_door,True
3325a3c9120eb6e7d55bf2963a52991f7f47538d.flv,75b4b9a9fc4801a2f625297c698e5eef4ec37cfe.flv,44.0,53.0,96.0,105.0,677,scent_of_woman_tango,True
75ac32c788e5d5d2e058a24f6a2deffbab3288fc.flv,8870293c58fbed9cc03a738577e5802164199d8b.flv,0.0,70.0,4.0,74.0,104,dove_evolution_commercial,True
3edda6ce4f34d8bcc1b3843100c36ddbef3c46df.flv,d7fd4ee52ade46db49e9fbabdf5d964ce0677961.flv,0.0,560.0,5.0,565.0,308,osama_bin_laden_is_dead_obama_speech_at_white_house,True
02ffeecd09331f27f731b2eabc6d1e0dcd91daa4.flv,934c1d493bed0e2fae442e8970d787f176ac89cb.flv,3.0,13.0,0.0,10.0,209,maradona_hand_of_god,True
74018dcbf908a0a0319e889a70a920896b63ed99.flv,97c71f57e83f6ab16906fdd7edc8e3f88d2ceee1.flv,27.0,30.0,55.0,58.0,22,beckham_70_yard_goal,True
4df943d4903333df61bb3854d47365edf3076b5b.flv,df0c9e9664cfa6720c94e13eae35ddb7a9b5b927.flv,0.0,14.0,20.0,34.0,262,obama_kicks_door,True
d7fd4ee52ade46db49e9fbabdf5d964ce0677961.flv,eaa384490867c32e4b3cc0d7d969af63d1a6edda.flv,234.0,303.0,1.0,59.0,294,osama_bin_laden_is_dead_obama_speech_at_white_house,True
93cad7675cea2f7c761ad9fc2ee72baee61f38e3.flv,,157.0,165.0,,,,the_last_samurai_last_battle,False
963f76298aaaab30e407bfe87eb25f3f2621d52d.flv,df0c9e9664cfa6720c94e13eae35ddb7a9b5b927.flv,0.0,14.0,20.0,34.0,262,obama_kicks_door,True
93cad7675cea2f7c761ad9fc2ee72baee61f38e3.flv,,30.0,45.0,,,,the_last_samurai_last_battle,False
8d222599bddb8d463bc7c7835f209cbc41072ca6.mp4,9ad3cc564c4f1b52ce076068e3830a70b9abccbf.flv,10.0,13.0,2.0,5.0,858,t-mac_13_points_in_35_seconds,True
0c06d64856ceae3c5146fd0cae9ac6fc5107083e.flv,8ad458ed4d45f32e8baa3bf5d84ad2a2a0324300.flv,2.0,8.0,13.0,20.0,1298,zidane_headbutt,True
5106b657cb3d1d98dd496150241aa529c80bd479.flv,b61905d41276ccf2af59d4985158f8b1ce1d4990.flv,302.0,309.0,51.0,56.0,765,t-mac_13_points_in_35_seconds,True
